epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7753,2.25292,5.39332,1.50283,9e-05,0.01961,0.00141,0.00113,1.78337,5.25744,1.07428,0.00012861,0.00012861,0.00012861
2,161.277,1.50831,3.59444,0.99334,0.00045,0.09598,0.02582,0.02091,1.27804,4.74666,0.92589,0.000266134,0.000266134,0.000266134
3,227.349,1.40654,2.90983,0.9783,0.00146,0.28764,0.02186,0.00971,1.30579,4.70961,0.90839,0.000397999,0.000397999,0.000397999
4,292.107,1.34612,2.66287,0.96194,0.00111,0.23088,0.03665,0.01996,1.31525,4.4553,0.92118,0.000524206,0.000524206,0.000524206
5,350.917,1.2354,2.36385,0.96562,0.00078,0.15212,0.01829,0.01415,1.36635,4.38656,0.9375,0.000644753,0.000644753,0.000644753
6,410.327,1.39222,2.27614,0.99455,0.00069,0.13904,0.03939,0.03291,1.34161,4.19011,0.9558,0.000759642,0.000759642,0.000759642
7,469.796,1.30583,2.21216,0.95237,0.00271,0.57327,0.115,0.0923,1.22973,3.97037,0.92907,0.000868872,0.000868872,0.000868872
8,530.537,1.26105,2.0889,0.96659,0.004,0.83479,0.07092,0.04662,1.28205,3.90527,0.93484,0.000972443,0.000972443,0.000972443
9,591.222,1.29264,2.0065,0.9463,0.45236,0.14556,0.44578,0.28131,1.32897,3.57698,0.94555,0.00107036,0.00107036,0.00107036
10,650.352,1.20769,1.86003,0.94556,0.61303,0.20269,0.62817,0.3982,1.30096,3.00422,0.95097,0.00116261,0.00116261,0.00116261
11,707.303,1.30235,1.91185,0.95361,0.61592,0.3274,0.61751,0.36411,1.39891,2.90604,0.95621,0.00114606,0.00114606,0.00114606
12,765.606,1.17547,1.70889,0.92415,0.57053,0.50257,0.59907,0.38272,1.38633,2.78227,0.96637,0.00111776,0.00111776,0.00111776
13,823.784,1.24539,1.74073,0.93898,0.44845,0.6586,0.52209,0.34422,1.37085,2.54296,0.95961,0.00108947,0.00108947,0.00108947
